m/z	intensity
809.883729	188
809.900644	179.451
809.917559	171.529
809.934474	174.118
809.95139	170.196
809.968305	164.314
809.985221	162.353
810.002137	166.745
810.019053	161.02
810.035969	158.902
810.052886	151.843
810.069803	152.471
810.086719	154.98
810.103636	163.373
810.120553	172.392
810.137471	176.314
810.154388	181.49
810.171306	192.784
810.188224	215.294
810.205142	242.275
810.22206	254.118
810.238979	271.059
810.255897	313.725
810.272816	359.137
810.289735	380.235
810.306654	400.314
810.323573	436.314
810.340493	490.745
810.357412	544.863
810.374332	606.824
810.391252	646.51
810.408172	644.549
810.425092	632
810.442013	680.628
810.458934	737.255
810.475855	751.686
810.492776	752.784
810.509697	776.863
810.526618	810.353
810.54354	872.392
810.560462	905.961
810.577383	859.373
810.594306	760.078
810.611228	680
810.62815	596.549
810.645073	526.196
810.661996	461.647
810.678919	408.706
810.695842	360.941
810.712765	327.686
810.729689	306.039
810.746612	299.922
810.763536	278.98
810.78046	256.471
810.797385	236.627
810.814309	235.529
810.831234	227.765
810.848158	213.176
810.865083	193.49
810.882008	190.51
810.898934	195.059
810.915859	188.863
810.932785	169.333
810.94971	169.255
810.966636	177.176
810.983563	192.157
811.000489	182.196
811.017415	171.608
811.034342	173.49
811.051269	187.451
811.068196	197.961
811.085123	199.059
811.102051	198.667
811.118978	202.431
811.135906	201.49
811.152834	203.137
811.169762	208.235
811.18669	231.294
811.203619	249.333
811.220547	260.078
811.237476	285.647
811.254405	331.294
811.271334	381.176
811.288264	451.451
811.305193	531.686
811.322123	591.843
811.339053	632.549
811.355983	681.255
811.372913	723.373
811.389844	746.745
811.406774	768
811.423705	792.863
811.440636	779.216
811.457567	754.902
811.474498	761.569
811.49143	828.314
811.508361	919.451
811.525293	1004.47
811.542225	1067.69
811.559157	1113.96
811.57609	1089.49
811.593022	1015.76
811.609955	882.902
811.626888	728.863
811.643821	587.922
811.660754	476.706
811.677687	401.333
811.694621	360.392
811.711555	330.98
811.728489	318.275
811.745423	296
811.762357	272.471
811.779292	230.588
811.796226	207.765
811.813161	207.608
811.830096	202.98
811.847031	178.431
811.863967	169.647
811.880902	176.392
811.897838	186.275
811.914774	177.725
811.93171	176.549
811.948646	173.02
811.965582	172.549
811.982519	165.255
811.999456	178.667
812.016393	177.961
812.03333	178.196
812.050267	173.02
812.067205	186.039
812.084142	181.02
812.10108	177.647
812.118018	178.51
812.134956	185.49
812.151895	182.431
812.168833	192.235
812.185772	213.333
812.202711	230.118
812.21965	248.078
812.236589	276.784
812.253528	310.667
812.270468	361.098
812.287408	397.725
812.304348	448.235
812.321288	488.549
812.338228	538.431
812.355169	580.157
812.372109	613.569
812.38905	650.039
812.405991	701.961
812.422932	725.255
812.439874	734.353
812.456815	749.961
812.473757	785.177
812.490699	788.471
812.507641	816.235
812.524583	878.667
812.541525	941.882
812.558468	969.726
812.575411	971.686
812.592354	928.471
812.609297	862.51
812.62624	782.824
812.643184	680.392
812.660127	574.588
812.677071	492.078
812.694015	423.216
812.710959	359.686
812.727904	317.882
812.744848	303.765
812.761793	293.176
812.778738	276.078
812.795683	246.902
812.812628	231.059
812.829574	209.882
812.846519	210.431
812.863465	200.157
812.880411	181.176
812.897357	162.824
812.914303	154.118
812.93125	147.922
812.948196	143.529
812.965143	145.412
812.98209	149.49
812.999037	153.569
813.015985	157.098
813.032932	163.686
813.04988	168.863
813.066828	159.137
813.083776	152.941
813.100724	158.824
813.117673	170.588
813.134621	184.863
813.15157	183.137
813.168519	190.98
813.185468	207.294
813.202417	238.902
813.219367	250.824
813.236317	254.745
813.253266	290.196
813.270216	356.157
813.287167	410.118
813.304117	439.686
813.321068	493.098
813.338018	556.784
813.354969	606.588
813.37192	636.314
813.388871	674.431
813.405823	711.373
813.422775	745.804
813.439726	749.255
813.456678	752
813.47363	764.863
813.490583	777.961
813.507535	794.588
813.524488	884.941
813.541441	1009.96
813.558394	1100.55
813.575347	1127.14
813.5923	1100.31
813.609254	996.235
813.626208	845.02
813.643161	685.882
813.660115	576.392
813.67707	488.078
813.694024	405.49
813.710979	346.353
813.727934	320
813.744889	299.059
813.761844	276.784
813.778799	259.451
813.795754	241.176
813.81271	207.765
813.829666	182.353
813.846622	170.431
813.863578	169.804
813.880535	152.627
813.897491	160.392
813.914448	179.765
813.931405	189.725
813.948362	169.02
813.965319	156.235
813.982276	167.373
813.999234	178.51
814.016192	162.588
814.03315	159.922
814.050108	151.373
814.067066	148.392
814.084025	154.824
814.100983	167.922
814.117942	181.412
814.134901	181.412
814.151861	176.706
814.16882	188.235
814.185779	193.804
814.202739	205.804
814.219699	224.392
814.236659	252.549
814.253619	293.176
814.27058	342.745
814.28754	371.216
814.304501	399.059
814.321462	447.686
814.338423	506.431
814.355385	546.902
814.372346	590.196
814.389308	633.961
814.40627	667.765
814.423232	676.235
814.440194	685.412
814.457156	716.784
814.474119	760.471
814.491082	788.314
814.508044	809.333
814.525008	858.039
814.541971	943.451
814.558934	1026.04
814.575898	1055.14
814.592862	985.882
814.609826	859.843
814.62679	745.961
814.643754	641.569
814.660719	545.569
814.677683	501.176
814.694648	474.275
814.711613	414.667
814.728578	344.235
814.745544	310.667
814.762509	293.02
814.779475	280.863
814.796441	264.941
814.813407	246.196
814.830373	221.647
814.84734	209.49
814.864306	185.333
814.881273	173.725
814.89824	171.451
814.915207	174.98
814.932175	171.765
814.949142	173.49
814.96611	169.49
814.983078	174.431
815.000046	184
815.017014	178.667
815.033982	161.569
815.050951	162.431
815.06792	162.824
815.084888	169.882
815.101858	165.569
815.118827	171.765
815.135796	167.529
815.152766	172.392
815.169736	184.157
815.186706	215.294
815.203676	232.392
815.220646	261.098
815.237617	298.431
815.254587	335.373
815.271558	363.216
815.288529	390.196
815.3055	433.412
815.322472	500.941
815.339443	576.549
815.356415	649.177
815.373387	704.078
815.390359	757.098
815.407331	789.412
815.424304	797.02
815.441276	774.039
815.458249	760.941
815.475222	758.745
815.492195	770.745
